ID,outDate,inDate,type
1033,25/08/2017,01/09/2017,Beer
1035,25/08/2017,01/09/2017,Beer
1036,26/08/2017,02/09/2017,Beer
1038,26/08/2017,03/09/2017,Beer
1043,29/08/2017,05/09/2017,Beer
1044,26/08/2017,02/09/2017,Beer
1045,01/09/2017,08/09/2017,Beer
1046,01/09/2017,08/09/2017,Orange
1047,26/08/2017,02/09/2017,Beer
1056,31/08/2017,07/09/2017,Beer
1062,01/09/2017,08/09/2017,Beer
1068,27/08/2017,02/09/2017,Beer
1071,27/08/2017,03/09/2017,Orange
1072,28/08/2017,03/09/2017,Beer
1073,27/08/2017,03/09/2017,Beer
1075,26/08/2017,02/09/2017,Beer
1076,29/08/2017,05/09/2017,Beer
1077,27/08/2017,03/09/2017,Beer
1079,27/08/2017,03/09/2017,Beer
1080,26/08/2017,02/09/2017,Beer
1082,25/08/2017,01/09/2017,Beer
1083,29/08/2017,05/09/2017,Beer
1087,,,
1091,25/08/2017,01/09/2017,Orange
1092,27/08/2017,03/09/2017,Beer
1096,25/08/2017,02/09/2017,Orange
1097,26/08/2017,02/09/2017,Beer
1100,01/09/2017,08/09/2017,Beer
1101,27/08/2017,02/09/2017,Beer
1103,28/08/2017,04/09/2017,Beer
1104,28/08/2017,04/09/2017,Beer
1105,31/08/2017,07/09/2017,Orange
1110,25/08/2017,01/09/2017,Beer
1112,25/08/2017,01/09/2017,Beer
1116,25/08/2017,01/09/2017,Beer
1121,27/08/2017,03/09/2017,Beer
1125,29/08/2017,05/09/2017,Beer
1135,25/08/2017,01/09/2017,Beer
1136,01/09/2017,08/09/2017,Beer
1141,01/09/2017,08/09/2017,Beer
1150,26/08/2017,02/09/2017,Beer
1153,25/08/2017,08/09/2017,Beer
1154,29/08/2017,06/09/2017,Beer
1157,25/08/2017,01/09/2017,Beer
1159,01/09/2017,07/09/2017,Orange
1160,25/08/2017,01/09/2017,Beer
1164,01/09/2017,07/09/2017,Orange
1168,25/08/2017,02/09/2017,Orange
1169,25/08/2017,01/09/2017,Beer
1171,01/09/2017,08/09/2017,Orange
1174,25/08/2017,01/09/2017,Beer
1176,31/08/2017,07/09/2017,Beer
1178,01/09/2017,08/09/2017,Beer
1180,31/08/2017,07/09/2017,Beer
1181,25/08/2017,01/09/2017,Beer
1182,28/08/2017,04/09/2017,Beer
1183,25/08/2017,01/09/2017,Beer
1185,27/08/2017,03/09/2017,Beer
1187,29/08/2017,05/09/2017,Orange
1188,01/09/2017,08/09/2017,Beer
1189,25/08/2017,01/09/2017,Beer
1190,25/08/2017,01/09/2017,Beer
1191,28/08/2017,04/09/2017,Beer
1200,29/08/2017,04/09/2017,Beer
1201,25/08/2017,01/09/2017,Orange
1202,25/08/2017,02/09/2017,Orange
1203,28/08/2017,05/09/2017,Orange
1205,30/08/2017,08/09/2017,Beer
1206,31/08/2017,07/09/2017,Beer
1208,31/08/2017,07/09/2017,Orange
1209,25/08/2017,01/09/2017,Orange
1211,31/08/2017,07/09/2017,Beer
1215,25/08/2017,01/09/2017,Orange
1217,30/08/2017,06/09/2017,Beer
1218,25/08/2017,01/09/2017,Orange
1219,26/08/2017,03/09/2017,Orange
1221,27/08/2017,03/09/2017,Orange
1222,25/08/2017,01/09/2017,Orange
1223,29/08/2017,04/09/2017,Beer
1225,25/08/2017,01/09/2017,Beer
1226,25/08/2017,01/09/2017,Orange
1227,25/08/2017,01/09/2017,Orange
1228,25/08/2017,01/09/2017,Beer
1229,26/08/2017,02/09/2017,Beer
1234,,,
1237,27/08/2017,02/09/2017,Beer
1238,28/08/2017,04/09/2017,Orange
1239,25/08/2017,01/09/2017,Orange
1240,25/08/2017,01/09/2017,Beer
1241,26/08/2017,03/09/2017,Beer
1242,30/08/2017,06/09/2017,Beer
1245,01/09/2017,08/09/2017,Orange
1246,25/08/2017,01/09/2017,Beer
1247,27/08/2017,02/09/2017,Orange
1252,25/08/2017,01/09/2017,Orange
1253,29/08/2017,05/09/2017,Beer
1254,30/08/2017,06/09/2017,Beer
1257,01/09/2017,08/09/2017,Beer
1260,25/08/2017,01/09/2017,Beer
1262,25/08/2017,01/09/2017,Orange
1264,27/08/2017,03/09/2017,Beer
1266,01/09/2017,07/09/2017,Beer
1267,25/08/2017,01/09/2017,Beer
1269,26/08/2017,02/09/2017,Orange
1270,26/08/2017,02/09/2017,Beer
1271,26/08/2017,02/09/2017,Beer
1272,25/08/2017,01/09/2017,Beer
1273,26/08/2017,02/09/2017,Beer
1275,26/08/2017,02/09/2017,Beer
1278,25/08/2017,01/09/2017,Beer
1282,27/08/2017,03/09/2017,Beer
1285,01/09/2017,08/09/2017,Beer
1286,27/08/2017,03/09/2017,Orange
1287,27/08/2017,03/09/2017,Beer
1288,25/08/2017,01/09/2017,Beer
1289,25/08/2017,01/09/2017,Beer
1291,25/08/2017,01/09/2017,Orange
1293,29/08/2017,05/09/2017,Beer
1297,01/09/2017,08/09/2017,Beer
1298,01/09/2017,08/09/2017,Beer
1299,30/08/2017,05/09/2017,Beer
1301,25/08/2017,01/09/2017,Orange
1303,25/08/2017,01/09/2017,Orange
1304,25/08/2017,01/09/2017,Beer
1306,30/08/2017,06/09/2017,Beer
1308,28/08/2017,03/09/2017,Orange
1312,27/08/2017,03/09/2017,Beer
1313,25/08/2017,01/09/2017,Beer
1314,31/08/2017,06/09/2017,Beer
1316,27/08/2017,03/09/2017,Beer
1317,25/08/2017,01/09/2017,Beer
1319,01/09/2017,08/09/2017,Orange
1320,01/09/2017,08/09/2017,Beer
1323,27/08/2017,02/09/2017,Beer
1326,25/08/2017,02/09/2017,Beer
1327,26/08/2017,02/09/2017,Beer
1328,25/08/2017,04/09/2017,Beer
1329,26/08/2017,04/09/2017,Beer
1334,25/08/2017,02/09/2017,Orange
1335,27/08/2017,04/09/2017,Beer
1336,01/09/2017,08/09/2017,Beer
1337,01/09/2017,08/09/2017,Beer
1338,26/08/2017,02/09/2017,Beer
1340,27/08/2017,03/09/2017,Beer
1343,30/08/2017,06/09/2017,Beer
1344,01/09/2017,08/09/2017,Orange
1345,25/08/2017,01/09/2017,Beer
1347,01/09/2017,08/09/2017,Beer
1350,31/08/2017,07/09/2017,Beer
1355,01/09/2017,08/09/2017,Beer
1356,25/08/2017,01/09/2017,Orange
1357,25/08/2017,01/09/2017,Beer
1360,26/08/2017,02/09/2017,Beer
1361,26/08/2017,02/09/2017,Beer
1362,25/08/2017,01/09/2017,Beer
1363,25/08/2017,01/09/2017,Beer
1367,25/08/2017,01/09/2017,Beer
1368,30/08/2017,06/09/2017,Beer
1370,29/08/2017,05/09/2017,Beer
1371,25/08/2017,01/09/2017,Beer
1372,28/08/2017,04/09/2017,Beer
1374,30/08/2017,06/09/2017,Beer
1375,25/08/2017,01/09/2017,Beer
1376,30/08/2017,06/09/2017,Beer
1377,25/08/2017,01/09/2017,Orange
1381,25/08/2017,01/09/2017,Orange
1386,26/08/2017,02/09/2017,Beer
1389,01/09/2017,08/09/2017,Beer
